PARENTSITE,PARENTSITE_ID,SUBSITE,SUBSITE_ID,MML_ID,BEACH_NO,FROM_TO,NO_RPT,REGION,REGNO,RCA,E_W_144,ROOK,TREND_70,TREND_90,TREND_00,CH_93R,PUPS_50,CH_PROPOSEDR,CH_93HO,NP_BRD_200,NP_NONBRD_100,CH_PROPOSEDHO,LAT,LON,HEM,SITE_ORIG/A-B,COMPLEX_ORIG,PUP,JUV,GPSID,IS_NO,SITE_NO,SEQ_NO,REDUNDANT,SUBSTR_CODE,SUBSTR_DESCR,ORIENT,NOTES,,
OGLODAK,421,OGLODAK,A,389,,,1,C ALEU,10,4,W,0,0,1,1,,,,,,1,1,51.977,-175.457,W,OGLODAK,,1,1,OGLOD,351,0,260,,6,OFFSHORE R,S,,,
SAGCHUDAK,422,SAGCHUDAK,A,382,,,1,C ALEU,10,4,W,0,0,0,0,,,,,,,,52.012,-174.485,W,SAGCHUDAK,,,,AMTG1,261,0,254.1,,3,ROCKY,,,,
SAGIGIK,509,SAGIGIK,A,380,,,1,C ALEU,10,5,W,0,1,1,1,,,,1,1,,1,52.008,-173.156,W,SAGIGIK,,,1,SAGIG,225,0,253,,4,SLAB-ROCK ,,,,
SALT,423,SALT,A,386,,,1,C ALEU,10,4,W,0,1,1,1,,,,,,1,1,52.175,-174.642,W,SALT,SALT,,,SALTI,297,0,257,,3,ROCKY,,,,
SALT,423,SALT/SE,B,386A,,,1,C ALEU,10,4,W,0,1,1,1,,,,,,1,1,52.161,-174.622,W,SALT/SE,SALT,,,,,,,,,,,,,
SEA LION ROCK (KISKA),222,SEA LION ROCK (KISKA),A,447,,,1,C ALEU,10,2,W,0,0,1,1,,,,,,,,51.880,177.980,E,SEA LION ROCK (KISKA),,,,SLR4K,927,0,309,,,,,,,
SEGUAM/SADDLERIDGE,510,SEGUAM/SADDLERIDGE,A,369,,,1,C ALEU,10,5,W,1,1,1,1,1,1,1,,,,,52.348,-172.568,W,SEGUAM/SADDLERIDGE,,1,,SADL1,153,3,243,,2,COBBLE BEA,N,,,
SEGUAM/TURF POINT,511,SEGUAM/FINCH POINT,A,367A,1,FROM,1,C ALEU,10,5,W,0,1,1,0,,,,1,,1,1,52.390,-172.462,W,SEGUAM/FINCH POINT/A,SEGUAM/TURF POINT,,1,FNCH1,153,1,241,2,,,N,,,
SEGUAM/TURF POINT,511,SEGUAM/FINCH POINT,B,367B,2,TO,0,C ALEU,10,5,W,0,1,1,0,,,,1,,1,1,52.388,-172.405,W,SEGUAM/FINCH POINT/B,SEGUAM/TURF POINT,,1,FNCH1,153,1,241,2,,,N,,,
SEGUAM/TURF POINT,510,SEGUAM/FINCH POINT W,B,367B,2,TO,0,C ALEU,10,5,W,0,1,1,0,,,,1,,1,1,52.388,-172.405,W,SEGUAM/FINCH POINT/B,SEGUAM/TURF POINT,,1,FNCH1,153,1,241,2,,,N,ADDED 10/10/2018 FROM 2018 ASSLAP NOTES,,
SEGUAM/TURF POINT,511,SEGUAM/LAVA COVE,C,371,,,1,C ALEU,10,5,W,0,1,1,0,,,,,,,,52.267,-172.475,W,SEGUAM/LAVA COVE,SEGUAM/TURF POINT,,1,LAVAC,153,5,245,2,3,ROCKY,S,,,
SEGUAM/TURF POINT,511,SEGUAM/LAVA POINT,D,372,,,1,C ALEU,10,5,W,0,1,1,0,,,,,,,,52.275,-172.400,W,SEGUAM/LAVA POINT,SEGUAM/TURF POINT,,1,LAVAP,153,6,246,2,4,SLAB-ROCK ,S,,,
SEGUAM/TURF POINT,511,SEGUAM/MOUNDHILL POINT,E,600,,,1,C ALEU,10,5,W,0,0,0,0,,,,,,,,52.301,-172.346,W,SEGUAM/MOUNDHILL POINT,SEGUAM/TURF POINT,,,,,,,,,,,,,
SEGUAM/TURF POINT,511,SEGUAM/SW RIP,F,368,,,1,C ALEU,10,5,W,0,1,1,0,,,,,,,,52.251,-172.608,W,SEGUAM/SW RIP,SEGUAM/TURF POINT,,,SWRIP,153,2,243,2,,,SW,,,
SEGUAM/TURF POINT,511,SEGUAM/TURF POINT,G,370,,,1,C ALEU,10,5,W,0,1,1,1,,,,1,,1,1,52.259,-172.520,W,SEGUAM/TURF POINT,SEGUAM/TURF POINT,1,1,TURFP,153,4,244,2,4,SLAB-ROCK ,S,,,
